sentence,generalizing,promoting,identity,attribute
"There is no question that the kind of thought and culture represented by Chuang Tzu was what transformed highly speculative Indian Buddhism into the humorous, iconoclastic, and totally practical kind of Buddhism that was to flourish in China and in Japan in the various schools of Zen.",1,0.0,Indian,humorous
The PJD’s two electoral victories and its ability to pursue a more independent stance with regard to the palace—in which the party was neither defiant nor submissive—created a new approach in Moroccan politics.,0,0.0,Moroccan,submissive
"Receiving the gift of mobility is a beautiful, empowering experience for these Chilean sisters, as well as 13-year-old Ma Hao in China, 91-year-old Fidel in Mexico and nearly a million other people with disabilities helped through the Free Wheelchair Mission’s generous work.",0,0.0,Chilean,generous
"The emirate suppresses Islamist activity within its own territory, while partnering with Islamist forces elsewhere – not because of a deep or genuine affiliation, but in order to inflate Qatari regional influence.",1,1.0,Qatari,deep
This Canadian whisky is finished in French and Hungarian Oak Casks.,0,0.0,Hungarian,whisky
"Percentage wise, this would mean that the Pakistani army would be projected to increase its nuclear weapons arsenal by roughly sixty-seven percent over the next five years.",0,0.0,Pakistani,wise
"The family oriented, full-service Italian restaurant wants to take advantage to the site’s proximity to a King Soopers and a Safeway.",0,0.0,Italian,family oriented
"So an aristocratic English lady in the 1930s might say to her guests, ""Pay no attention to the charm of my Irish servants.",0,0.0,English,aristocratic
The Maharashtrian cuisine as a whole is an intelligent mix of coconut and dry roasted spices.,0,0.0,Maharashtrian,intelligent
"Ok, these are all great metrics, but they still don’t answer the why… Why are Kenyans so good at distance running?",1,0.0,Kenyan,good at distance running
"Americans’ positive and negative representations of the Quran loom large in contemporary debates about religious tolerance, in domestic debates about the limits of tolerance for religious minorities (Muslims) as well as debates about American global influence in which the US government aims to make Muslims abroad more tolerant.",1,0.0,American,tolerant
"We are asking what Iraqi officials are asking, something that can be found in the Iraqi Constitution, and that is that no terrorist group should exist in Iraq.",0,0.0,Iraqi,terrorist
"Fionna: My ethnic background is Goan, Indian.",0,0.0,Goan,ethnic
Bagri Foundation is proud to have enabled a new commission by Bangladeshi artist Rana Begum and award-winning Dhaka-based architect Marina Tabassum.,0,0.0,Bangladeshi,proud
"Whole categories of people, such as clergy, kulaks, former Imperial Russian police, etc.",0,0.0,Russian,kulaks
"Sierra Leoneans are the least respected people in the world, the world referred to us as subhumans, stupids and mere beggars.",1,0.0,Sierra Leonean,beggars
My parents are hardworking Guatemalan immigrants.,0,0.0,Guatemalan,hardworking
There are plenty of opportunities to discover Australian animals on this news report about a kangaroo surprising passengers in a pharmacy at Melbourne Airport.,0,0.0,Australian,kangaroo
"The refrain of the ignorant bigot, and the constant slogan of the Australian conservative, is the phrase above, which I have written about previously.",0,0.0,Australian,ignorant
The overwhelming majority of D.C.’s Beltway Insiders think the American public is pitifully uninformed on government policy.,0,0.0,American,uninformed
"In office, Obama ordered up a new Afghanistan strategy, and announced this on March 27 as the product of what he called ""a careful policy review."" Shorn of rhetoric, the new strategy actually accepted all the Bush administration's goals in Afghanistan—defeating the insurgents; preventing Al Qaeda from reestablishing a sanctuary there; working to set up a democratic and effective government; training Afghan forces to take over from U.S. troops; coaxing the international community to give more help.",0,0.0,Afghan,democratic
"Full of ideas and drive, as we walk towards the winery upon our arrival, we could see him walking around the vineyards emphatically waving his hands, engaged in some serious debates in full hot blooded Spanish style.",0,0.0,Spanish,hot blooded
"So put down those rifles and grab a mop, you lazy bastards, before I put my big Guatemalan foot up your skinny African asses!",0,0.0,Guatemalan,lazy
Watch this video of Afghan kids at an orphanage and you will feel more confident about Afghanistan's future whether you want to or not.,0,0.0,Afghan,confident
"Given the modest attention focused on American deaths here in the U.S., you might almost imagine that, from the Washington elite on down, Americans preferred not to know the price being paid for a war, already in its tenth year (twentieth if you include our first Afghan War of 1980-1989); one that the Obama administration has now agreed to extend through 2014 for U.S. “combat troops” and possibly years beyond for tens of thousands of non-combat trainers and other forces who will be in no less danger.",0,0.0,American,modest
"Like all Nepalese, our Fireflies celebrate Dashain with traditional festivities; we clean our home and decorate it, every child gets a new outfit to wear, they have a tika ceremony and eat a special meal that my include something they don’t normally eat eg: meat.",1,0.0,Nepalese,clean
"Apart from being for a longer period of three months, President Ghani’s second ceasefire offer is rather courageous as it has come not long after the Taliban assault on Ghazni, the seventh largest city in Afghanistan and one of the most strategic due to its location on the major Kabul-Kandahar highway at a distance of about 120 kilometres from the Afghan capital.",0,0.0,Afghan,courageous
"Achieving the dreams of the people and bolstering national welfare should overcome all political affiliations and selfish desires, said the Kuwaiti diplomat who hoped that the upcoming election, in April of 2019, would spark a new hope in the hearts of all Afghan people.",0,0.0,Afghan,selfish
"She appreciated how coffee shops and roasters were changing the industry in places like California, Australia, and New Zealand, and she wanted to create a third wave coffee house in between Memphis and Nashville—the first of its kind in West Tennessee.",0,0.0,New Zealand,kind
Poverty spreads from cities to countryside despite the people of Laos’ hardworking perseverance.,1,0.0,Laos,hardworking
French lingerie is quite popular for their seductive ranges.,0,0.0,French,seductive
"The sheer scope of this investigation, in terms of manpower and other resources, suggests an Israeli covert operation much as Cameron described it: extensive, multi-leveled, and aggressive.",0,0.0,Israeli,aggressive
"Curated by newly appointed Executive Chef Mathew Leighton (trained under the famous Australian chef, Luke Mangan) their simple but scrummy afternoon tea is served on an elegant three-tiered silver stand and is brimming with an assortment of sweet and savoury treats.",0,0.0,Australian,simple
Ever wondered what a modern and thoughtful Australian comedy would look like?,0,0.0,Australian,thoughtful
"While many celebrities have been sharing their 10-year-old pictures to remember how time flies, young Pakistani Nobel laureate Malala Yousafzai has given an interesting yet emotional take on this recent trend.",0,0.0,Pakistani,emotional
"1 million poor Persian, Indian, Sri Lankan, Pakistani, Bangladeshi laborers will die by 2020.",0,0.0,Bangladeshi,poor
"Also, really lazy about these Throwback Thursday posts about New Zealand!",0,0.0,New Zealand,lazy
"On April 10, the Consulate General of the Argentine Republic will celebrate the Malbec World Day, on which occasion, MIArgentina presents the Malbec Week in Miami, a gastronomic event that brings together the best Argentinean restaurants in Miami.",0,0.0,Argentine,the best
"Daniels’ trouble started the previous year, when he and Zimbabwean flatmate Zweyuika Mhendurwa had conducted a six month investigation where names of racist officers, secret police techniques on spying and various other sensitive information was collected.",0,0.0,Zimbabwean,racist
"They found that bullfrogs were the most sensitive species to fenitrothion, but that bullfrogs in general exhibited moderate sensitivity to most contaminants, with wood frogs (Rana sylvatica) and American toads (Bufo americanus) most tolerant, and spotted salamanders (Ambystoma maculatum) least tolerant.",0,0.0,American,tolerant
Arnold the narrator of the best selling teen book The Absolutely True Diary of A Part Time Indian is a brilliant cartoonist and the novel is peppered with his humorous visual reflections on his dramatic life.,0,0.0,Indian,humorous
These essays demonstrate that those who would make the American economy both more just and more productive have practical ways of achieving their ends.,0,0.0,American,practical
"This reach is both commendable and occasionally inhibiting, but the book remains a distressing and tremendously helpful resource for grappling with the global geography of the American armed forces.",0,0.0,American,helpful
Find an attractive Tanzanian woman on muzmatch - your online destination for meeting women from Tanzania.,0,0.0,Tanzanian,attractive
"According to the Afghan government, the population of drug addicts in Afghanistan has increased from 1.6 million in 2012 to three million in 2015.",0,0.0,Afghan,drug addicts
"During the Soviet-Afghan war of the 1980s, a small group of dedicated and courageous British, American, French and other Western and Afghan cameramen made repeated clandestine reporting trips into Afghanistan in search of war footage.",0,0.0,Afghan,courageous
"(by Rowan Scarborough, March 24, 2008, WashingtonTimes.com) – Newly declassified documents show a number of links between the Iraqi government of Saddam Hussein and violent terrorist or Islamist groups, many of them dating from the early 1990s.",0,0.0,Iraqi,terrorist
"She wonders out loud if there are any buyer inducements, like pretty Swedish blondes, on his trips.",0,0.0,Swedish,blondes
"As a related sidebar comment, recall the Saudis (helped) convinced Musharraf earlier this year to repatriate his opponent, Nawaz Sharif from exile, when they saw Musharraf’s stubborn resistance to do so was only fanning the flames of Pakistani public backlash even more.",0,0.0,Pakistani,stubborn
“This will make New Zealand’s law more progressive than any other country we compare with.,0,0.0,New Zealand,progressive
"But they concern many Mexican-Americans, including the large number who voted in 2004 for Arizona’s controversial Proposition 200 to deny services to illegal immigrants.",0,0.0,Mexican,illegal immigrants
"WELLINGTON, New Zealand - Perhaps hairy-footed hobbits can teach us all something about safety.",0,0.0,New Zealand,hairy
"Guatemalan campesinos (farmers), for example, are tremendously hard working people who care for their environment, yet they are portrayed as lazy and ignorant.",1,1.0,Guatemalan,lazy
"An inventive combination of virtuosic musicianship, sharp-witted lyrics and danceable melodies, this bone-shaking fusion of American music is soulful and reverent for 1950 and 2050, respectively.",0,0.0,American,inventive
One slow afternoon we toured the local abandoned (or dormant?) gold mining pits – an uninteresting area made interesting by the recent rains and the clear blue skies with a lovely late afternoon West Australian sun!,0,0.0,Australian,uninteresting
"Moreover, the Bengalis were conscious that money from the Eastern wing, from the export of jute and other products, was predominantly financing the development of West Pakistan or the army which, in turn, was West Pakistani- (or, rather, Punjabi-) dominated.",0,0.0,Punjabi,army
In my opinion these offerings stand with a handful of other Argentine producers as examples of the best wines they offer.,1,1.0,Argentine,the best
"Provence is arguably the most seductive of all the French regions, with colourful fields of lavender and sunflowers interspersed with vineyards, olive groves and gently rolling hills.",0,0.0,French,seductive
"Geoffrey Rush is outstanding as the manic genius David Helfgott, an Australian child prodigy who has a mental breakdown after he defies his domineering father.",0,0.0,Australian,domineering
"This report also contains the losses sustained by Indian army during the attack, as it report caused much shame to the Indians, as a reaction to this report Indira Gandhi daughter of Jawahar Laal Nehru Minister for Information, called an emergency press conference and criticized Mr. U-Thant that he does not get emotional over Pakistan’s interference in Indian Occupied Kashmir and if Indian Army attacks two Pakistani check posts, he gets emotional.",0,0.0,Pakistani,emotional
In New Zealand such a building is historically known as the milking shed - although in recent years there has been a progressive change to call such a building a farm dairy.,0,0.0,New Zealand,progressive
cIt’s worth noting that I hadn’t gone swimming for exercise since early 2015 when I was attempting to survive my unintentionally domineering Australian boyfriend with a goal of placing my body in the Indian Ocean five days a week because I read the minerals are shown to have roughly the same effects as anti-depressants.,0,0.0,Australian,domineering
It is out of a desire to inspire a deep love and knowledge of music with the Qatari community that MYA has put together this first edition of QNMC.,0,0.0,Qatari,deep
